name,description
Billy," A boy in Tom Riddle’s orphanage who got into an argument with Tom, and who’s rabbit was dead (probably killed by Tom).
 "
Binky, Lavender Brown’s baby rabbit who was killed (on Oct. 16) by a fox after Professor Trelawney’s prediction that the thing she dreads will come on October 16th.
Binns," A ghost teacher who teaches History of Magic. It is said that he just died during the night and got up from his chair, not noticing he was dead. He told the students in Harry’s year (in Book 2) about the legend of the Chamber of Secrets.
 "
Dennis Bishop, A boy in Tom Riddle’s orphanage who went into a cave with Riddle and was never the same again.
(Black) Araminta Meliflua,  Sirius’s mother’s cousin who tried to make muggle hunting legal.
(Black) Bellatrix Lestrange, (Maiden name Black) Sirius Black’s first cousin who became a death eater and killed Sirius Black. Is believed to be Voldemort’s number 1 death eater.
(Black) Aunt Elladora, Started the tradition of beheading a house elf when it is too old to hold a tea tray in the Black family.
(Black) Narcissa,"  The mother of Draco Malfoy, and the wife of Lucius Malfoy. First cousin of Sirius Black, and sister of Andromeda Tonks and Bellatrix Lestrange."
Regulus Black," Younger brother of Sirius black who turned into a death eater and was a Slytherin. According to Sirius, he got asked to do something, got scared and tried to back out so Voldemort had him killed."
(Black) Uncle Alfred,"  Sirius Black’s uncle who left Sirius gold to buy his own place. He, like Sirius, has been removed from the Black family tree (probably for leaving Sirius the gold)."
Balfour Blane, The wizard who created the Committee on Experimental Charms.
Miles Bletchley, Keeper for the Slytherin Team. He also hit Angelina in the back with a jinx before a quidditch game.
Bloody Barron,"  The Slytherin House Ghost. Fell in love with The Gray Lady (Ravenclaw’s daughter) but she did not love him back, he ended up murdering her and then killed himself as well.
 "
Blott. s,  One of the owners of Flourish and Blotts (Though not confirmed)
Beatrix Bloxam,  Author of children’s books that cause nausea and vomiting; The Toadstool Tales.
Blodwyn Bludd,"  A vampire who is known as the Vampire from the Valleys. Sings to its victims before biting their necks.
 "
Stubby Boardman," Lead singer of the wizarding band the Hobblegoblins. In the magazine The Quibber, it said that this man is Sirius Black, and that he is innocent."
Bob, The man Mr. Weasley and Harry meet in the elevator on the way to Harry’s hearing in the ministry of magic. He had a chicken with him that breathed fire.
Broderick Bode,  An unspeakable in the Ministry of Magic who works for the Department of Mysteries. He was found dead at 49 in St. Mungo’s strangled by a deadly plant; Devil’s Snare. He was bewitched by Lucius Malfoy to remove the weapon.
Bole, The Slytherin beater who hit Alicia over the head with the club; claiming that he thought she was the bludger.
Pierre Bonnacord," First Supreme Mugwump of the International Confederation of Wizards, which the position is now held by Dumbledore. Wanted to ban troll hunting, but was unable to because they were causing trouble in Lichtenstein."
Amelia Bones," Prior head of the Department of Magical Law Enforcement and watched over Harry’s hearing in Book 5. She is fair and honest, but was killed by death eaters in the 2nd year of Voldemort’s return. Aunt of Hufflepuff (in Harry’s year) Susan Bones."
Edgar Bones,"  Brother of Amelia Bones and in the Order of the Phoenix, he was killed with his wife and kids by death eaters before the fall of Lord Voldemort. The wizard who killed them escaped in the 5th Book.
 "
(Grandmother of Susan Bones) Bones,  Susan Bones’s grandmother who was killed by death eaters
Susan Bones," A Hufflepuff girl in Harry’s grade who was in the D.A. who’s aunt, grandmother, and uncle were killed by death eaters. Helped with the ambush of Malfoy on the Hogwarts express in Book 5.
 "
Mungo Bonham," A healer who founded St. Mungo’s Hospital for Magical Maladies and Injuries. He was also Wizard of the Month of March, 2005 on J.K. Rowling’s official site."
Terry Boot,  A Ravenclaw in Harry’s year who joined the D.A. He was one of the D.A. member who helped with the ambush of Malfoy on the Hogwarts express in Book 6.
Gladys Boothby," Invented the Moontrimmer Broomstick.
 "
Libatius Borage,  Author of Advanced Potion
Borgin, One of the owner’s of the shop Borgin and Burkes in Knockturn Alley that sells things of the Dark Arts.
Bertie Bott,"  Creator of the favorite wizard (and now also muggle) Bertie Bott’s Every Flavor Beans.
 "
Bozo," A photographer who works for the daily prophet, taking pictures while Rita Skeeter writes the articles."
Bradley,  A Ravenclaw chaser mentioned in Book 5.
Barberus Bragge,"  Chief of the Warlock’s Council in 1262 who offered over 150 Galleons to whoever caught the Golden Snidget first. A women from the audience went out to protest to the harm of the bird, and summoned it. From then on, the Snidget became a regular part of a quidditch game."
Rudolph Brand, Captain of the Heidelburg Harries who at the end of the match proposed to the captain of the other team
Maximus Brankovitch III," Seeker for the Fitchburg Finches in Massachusetts, United States."
Eleanor Branstone, A girl who was sorted into Hufflepuff in Book 4.
Kevin and Karl Broadmoor, Beaters for the Falmouth Falcons from 1958 to 1969.
Mandy Brocklehurst," A girl in Harry’s year who was sorted into Ravenclaw in Book 1.
 "
Rupert “Axebanger” Brook Stanton, A name Hermione comes across when looking for somebody with initials R.A.B.
Lavender Brown," A Gryffindor girl in Harry’s year who is best friends with Pavarti Patil. She attends the Yule Ball with Seamus Finnigan, and likes the subject of divination. She joined the D.A. as soon as it was formed, Is Ron’s girlfriend in Book 6.
 "
Frank Bryce," The Riddle’s gardener who the people of the village thought had killed the riddles. He is killed by Wormtail with the Avada Kedavra curse after overhearing what Voldemort and Wormtail had been talking about.
 "
Buckbeak," The hippogriff that is taught in Care of Magical Creatures in Book 3. If hurts Malfoy after he insults him and is sentenced to death. Harry and Hermione save him, and then he and Sirius Black escape together. He lives in the Black house in Books 3 and 4, and eventually goes back to Hogwarts with Hagrid being disguised as a different hippogriff, Witherwings."
Millicent Bulstrode," An ugly Slytherin girl in Harry’s grade who has a cat (seeing that Hermione took cat hair off her robes for the polyjuice potion in Book 2, thinking they were Millicent’s.) Part of Umbridge’s Inquisitorial Squad in Book 5. She also checked out quidditch through the ages (due back February 6)"
K. Bunky," Checked out Quidditch through the Ages (Due back on October 12th)
 "
Rosalind Antigone Bungs," A name Hermione comes across when looking for somebody with the initials R.A.B.
 Burbage, Professor Charity"
Caractucus Burke, Owner of the Dark Art’s store Borgin and Burkes in Knockturn Alley.
Sir Cadogan,"  Guards the entrance to the Gryffindor common room when the fat lady’s portrait is destroyed, because none of the other portrait’s are brave enough to do it. Changes the passwords daily and challenges students to duels. He also lets Sirius Black into Gryffindor tower since he had the passwords (Neville wrote them on pieces of paper and then looses them)."
Cadwallader,  A Hufflepuff chaser in Book 6.
S. Capper,  A student who checked out Quidditch through the Ages (Due back January 31st)
Eddie Carmichel,  A Ravenclaw boy who received 9 owls the previous year (this year being Book 5) who tries to sell Harry and Ron Baruffio’s Brain Elixir which Hermione takes away because it is fake.
Alecto Carrow," A death eater that was part of the group led by Draco Malfoy who invaded Hogwarts. The sister of Amycus Carrow. When Voldemort took over Hogwarts, Alecto Carrow became the Muggle Studies teacher."
Amycus Carrow," A death eater with an odd laugh and was part of the death eaters led by Malfoy who invaded Hogwarts in Book 6. Alecto Carrow’s brother, a squat, “lumpy” looking wizard. When Voldemort took over the Hogwarts in the fall of 1997, Amycus was made the Defense Against the Dark Arts teacher, although he simply taught students to perform the Dark Arts"
Greta Catchlove, Author of Charm your Own Cheese.
Owens Cauldwell,  A boy sorted into Hufflepuff in Book 4.
Chambers," A Ravenclaw seeker who tried to score on Ron, but Ron stopped it."
Glenda Chittock, Presenter on the Wizarding Wireless Network (WWN). Was also J.K. Rowling’s wizard of the month in October of 2004.
Agatha Chubb, Finder of wizarding artifacts including 12 bludgers from the 16th century.
Circe, A famous Greek with who was famous for transfiguring lost sailors into pigs
Elfrinda Clagg," Chief of the Warlock’s council who made the golden snidget a protected species and set up a reservation for them. JK Rowling’s wizard of the month in June, 2005. (Although in Quidditch through the Ages it says she was chief of the Wizard’s council). Her portrait is in St. Mungos’ (But that says Elfrinda Cragg, perhaps a mispelling)"
Penelope Clearwater," Girlfriend of Percy Weasley since book 2, and head girl in book 3. She was petrified by the basilisk with Hermione Granger outside of the library."
Cliodna," Famous for having 3 birds who could heal with their songs, and she was an animagus that could change into a bird."
Edgar Clogg," A ghost that has been around the quidditch field for a long time (Character known from Quidditch World Cup game)
 "
Cole, Head of the orphanage that Tom Riddle grew up in.
Connolly, Irish national team’s beater.
Ritchie Coote, A Gryffindor beater in Book 6.
Michael Corner, A Ravenclaw boy in Harry’s Year that Ginny dates and dumps because he was a sore loser from quidditch in Book 5. He later dated Cho Chang in Book 5 also.
Crabbe, A death eater who is the father of Vincent Crabbe and never went to Azkaban.
Vincent Crabbe," A Slytherin boy in Harry’s year who is one of Draco Malfoy’s best friends. Very dumb and fat like Goyle, Crabbe also plays beater in the Slytherin quidditch team in books 4 and 5, and hits Harry in the back after the game was over. Was killed in Harry Potter and the Deathly Hallows.
 "
Elfrinda Cragg," See Clagg, Elfrinda
 "
Crapaud," A character in a play written by the French Wizard Malecrit called “las, Je me suis Transfigurles Pieds”"
Colin Creevy," A Gryffindor boy 1 year young than Harry who was very keen on Harry in the books, especially the 2nd one (taking pictures of him every minute). He was petrified in Book 2 after seeing the Basilisk through his camera. He and his brother Dennis are in the D.A. Both boys are also muggle born. Was killed during battle in Harry Potter and the Deathly Hallows."
Dennis Creevy, Probably the youngest kid in the D.A. (a second year) Dennis Creevy is the younger brother of Colin Creevy. Also very keen of Harry and small for his age (or at least he was the smallest kid being sorted in Book 4). He has brown hair and likes to hang out with 2 years older brother Colin.
Dirk Cresswell,  One of Slughorn’s old favorite students who is now head of the Goblin Liaison Office.
Croaker," Works for the Department of Mysteries in the Ministry of Magic
 "
Doris Crockford,  A witch Harry met in the Leaky Cauldron in the beginning of Book 1.
Crispin Cronk," He was famous for keeping sphinxes in his backyard. He was eventually sent to Azkaban for not giving them up.
 "
Crookshanks, Hermione’s ginger cat who is part kneazle.
Barty Sr. Crouch,"  Bartemius Crouch used to be one of the best auror’s around. He was headed to be the next minister of magic, before his son turned out to be a death eater. He sent his own son to Azkaban, before sneaking him out and putting his dying mother in his place (using polyjuice potion). He kept his son Barty Crouch Jr. under the imperius curse, but he eventually fought it and got away. He returned to Lord Voldemort and killed his father (to read more, go to Crouch, Barty Jr.)"
Barty Jr. Crouch," Raised by Barty Crouch Sr. who was a ministry auror and his mother, he became a death eater and was sent to Azkaban by his father. His father snuck him out on his mothers wished by putting her (who was dying) in his place in Azkaban. She died there a little while after. He was put under the imperius curse until he fought it and managed to get a wand at the quidditch world cup, where he shot the dark mark into the air. Crouch Sr. realized it and put him under the curse once again. Voldemort then personally came to get Crouch Jr., putting Crouch Sr. on the curse. Barty Jr. then went to Hogwarts pretending to be Mad"
Crouch," Wife of Barty Crouch Sr. and mother of Barty Crouch Jr. After her son was put in Azkaban, she begged her husband to switch them. She drank polyjuice potion with his hairs in it, and he drank it with her and they transformed. She later died in Azkaban."
Gideon Crumb, Plays the bagpipes in the band the Weird Sisters.
Barabas Cuffe, Editor of the Daily Prophet who used to be in the Slug Club at Hogwarts.
Gerta Curd, Author of Charm your own Cheese.
Damocles, The uncle of Marcus Belby who invented the Wolfsbane potion.
Roger Davies," A Ravenclaw boy who is captain of the quidditch team. He took Fleur Delacour to the Yule Ball in Book 4. He asked Cho Chang out in Book 5, but she turned him down."
Tracy cDavis, A girl sorted into Slytherin in Harry’s year (Mentioned in an interview with J.K. Rowling).
Dawlish," Described as a tough looking wizard with short hair. An auror who works for the Ministry of Magic. He came with Fudge to try and expell Harry, but was knocked out along with Umbridge, Kingsley, and Fudge by Dumbeldore. He also tried to arrest Hagrid in Book 5. Later, in Book 6 he was assigned to Hogsmeade in Book 6 to guard it along with Tonks, Proudfoot, and Savage. Scrimgeous sent Dawlish after Dumbledore in book 6 to follow him to wherever he was going."
Caradoc Dearborn, A wizard from the picture of the Order of the Phoenix in Book 5 who disappeared and was probably dead.
Apolline Delacour, Married to Monsieur Delacour and mother of Fleur and Gabrielle Delacour. Was present for the Third Task of the Triwizard Tournament held at Hogwarts. Madame Delacour is described as being a beautiful blonde woman and accomplished at household spells
Fleur Delacour," The Beabatons champion of the Triwizard Tournament in Book 4. She’s tall and part veela, and of course very pretty. After she graduated Beabatons, she got a job in Gringotts bank to improver her English. While there, she met her fiance Bill Weasley. (That’s how she is related to the Black’s because Arthur Weasley is Sirius’s second cousin once removed, so Bill is related to Sirius, and Fleur is getting married to Bill, so they are related by marriage). Has a daughter named Victoire.
 "
Gabrielle Delacour, The younger sister of Gabriella Delacour. Harry saved her in the second task of the Triwizard Tournament in Book 4 because he did not think Fleur would be there in time to save her.
Monsieur Delacour,"Married to Appoline Delacour and father of Fleur and Gabrielle Delacour. Attended the Third Task of the Triwizard Tournament . Monsieur Delacour is short, plump, and as having a little, pointed black beard
 "
Delaney," Podmore, Patrick"
Laverne de Montmorency," Invented many love potions.
 "
Dennis," A boy in Dudley’s gang.
 "
Derek, A Hogwarts first year who stayed over and was surprised that Dumbeldore knew him (after Dumbledore asked him to pass him something) in Book 3.
Derrick, A Slytherin boy mentioned in Books 3 and 5 who was a beater on the Slytherin quidditch team.
Dilys Derwent, A famous witch who was portraits in Hogwarts and other wizarding buildings who was a St. Mungo’s healer(1722 to 1741). She also used to be a headmistress at Hogwarts (from 1741 to 1768) and is the one who told Dumbledore Arthur Weasley was taken into St. Mungo’s in Book 5.
Philbert Deverill," Manager of the Puddlemere United Quidditch Team.
 "
Diddy, A name that Aunt Petunia calls Dudley.
Dedalus Diggle, A member of the Order of the Phoenix who Harry met in the Leaky Cauldron in Book 1. He lives in Kent and lacks a bit of common sense.
Amos Diggory, The father of Cedric Diggory (who dies in book 4). Works for the Department for the Regulation and Control of Magical Creatures. Very emotional and lives near the Weasleys.
Cedric Diggory," The Hogwarts Champion (besides Harry) who tied winning the Triwizard Tournament with Harry Potter. Unfortunately, the cup was a portkey and transported him to a graveyard with Harry> He was killed by Wormtail (Voldemort’s servant). He was also the Hufflepuff seeker and captain and dated Cho Chang before he died.
 "
Diggory, The mother of Cedric Diggory and the wife of Amos Diggory. Is not as emotional as her husband.
Dimitrox," A Bulgarian chaser on the Bulgarian National Quidditch Team.
 "
Harold Dingle," Tried to sell Dragon Claws as a study aid, which actually turned out to be pixie droppings in Book 5.
 "
Dinky Diddydums, A name that Aunt Petunia calls Dudley
Armando Dippet, Headmaster of Hogwarts when Tom Marvolo Riddle (Lord Voldemort) attended.
Emma Dobbs, Was sorted in Book 4 into Hufflepuff.
Daisy Dodderidge, Creator of the Leaky Cauldron. Was made to connect the wizarding and muggle worlds.
Dobby," A very kind house elf that was first introduced in Book 2. He came to warn Harry not to go back to Hogwarts (and blocked Harry and Ron from going to Hogwarts, and bewitching the bludger to hit Harry’s arm so he would go back to the Dursley’s and leave Hogwarts). Dobby also appeared at the end of this book, where Harry set him free by giving his owner, Lucius Malfoy a sock and throwing it in the air. Dobby caught it and was set free. Dobby then came to work at Hogwarts with his friend Winky. Here, he helped Harry several times such as giving him the Gillyweed so he can breathe under water in the second task in Book 4. Dobby told Harry about the Room of Requirement so he could have the D.A. meetings there, and Dobby and Kreacher (another House Elf) followed Malfoy to find out what he’s doing in Book 6. Was killed by Bellatrix Lestrange in Deathly Hallows after saving Harry and company."
Elphias Doge," An old wizard who was in the order before and after the fall of Voldemort, as well as in the present books. Was one of the Advanced Guard who came to get Harry from the Dursley’s in Book 5. Wrote Dumbledore’s obituary in Deathly Hallows."
Antonin Dolohov, Death eater who was sent to Azkaban for murdering the Prewett brothers (brothers of Molly Weasley) and betrayed by Karkaroff. He was amoung those who escaped from Azkaban in Book 5. He was recaptured after fighting for Voldemort in the Department of Mysteries.
Ragmar Dorkins, Manger of the Chudley Cannons
J. Dorny," Checked out Quidditch Through the Ages (Due back on December 5th)
 "
Dudders, A name that Aunt Petunia calls Dudley.
Kirley Duke, Lead guitar player in the wizarding band the wierd sisters.
Alberforth Dumbeldore, Dumbledore’s brother is described as a strange bloke by Moody. He is the bartender of the Hog’s Head.
Albus Dumbledore," (Full name: Albus Percival Wulfric Brian Dumbledore) Old Hogwarts Headmaster before McGonagall. Was known to be the only wizard that Voldemort ever feared. The head of the Order of the Phoenix and it’s secret keeper. He was murdered by Severus Snape at the end of Book 6. He was most famous for the defeat of the dark wizard Grindelwald in 1945, for the discovery of the 12 uses of dragon’s blood, and for his work in alchemy with Nicholas Flamel."
Ariana Dumbledore, Dumbledore’s younger sister who was tormented by 3 muggle boys and this resulted in her never using magic until it had built up so much that it would explode out of her. She was killed when Albus and Gellert Grindelwald were fighting.
Kendra Dumbledore," Mother of Albus, Aberforth and Ariana Dumbledore. She was accidently killed by Ariana."
Dumbledore Percival," Father of Albus, Aberforth and Ariana Dumbledore. Was sent to Azkaban after attacking the muggle boys who hurt his daughter."
B Dunstan," Checked out Quidditch Through the Ages (due back on May 16th)
 "
Dudley Dursley," Harry Potter’s mean and very fat cousin who is the only child of Vernon and Petunia Dursley. He was always mean to Harry but grew fearful of him when he learned magic.
 "
Marjorie (Marge) Dursley," Marjorie Dursley is the sister of Vernon Dursley. Although she is not related to Harry Potter, he was forced to call her Aunt Marge. She insults Harry’s parents and accidentally blows her up like a balloon.
 "
Petunia Dursley, The sister of Harry’s mother who is described as a horse
Vernon Dursley, Harry’s uncle (by marriage to Petunia Evans) who is a big beefy man and does not like Harry. He does not like magic and tried to squish it out of Harry by never telling him the truth about him being a wizard and having wizarding parents (of which were killed by the Dark Lord Voldemort).
Dzou Yen, A Chinese Alchemist.
Eargit the Awful, The goblin representative at the 14th century wizards council.
Marietta Edgecombe,"  The friend of Cho Chang’s who joined the D.A. and then sold them out to Professor Umbridge. The words sneak appeared all over her face because there was a jinx on the paper and whoever told would have sneak written all of their face. Her mother works in the ministry of magic department of Magical Transportation, Floo Network Office. She could not however tell because Order of the Phoenix member Kingsley Shacklebolt quickly modified her memory. She then told Fudge she did not know of the D.A."
Madam Edgecombe,"  Mother of Marietta Edgecombe (see above) and works for the Ministry of Magic in the Department of Magical Transportation, Floo Network Office. She helped Fudge watch the Hogwarts fires."
Egbert the Egregious," He possessed the Elder Wand for some time and slaughtered Emeric the Evil to gain it.
 "
Mordicus Egg," Author of “The Philosophy of the Mundane: Why Muggles Prefer Not to Know.”
 "
Elladora, Started the tradition of beheading a house elf when it is too old to hold a tea tray in the Black family. (Also see under Black
Ellerby, Brought out a new model of the Tinderblast and the Swiftstick.
Wilfred Elphick, First person to be gored by an Erumpent.
Emeric the Evil,Wizard who Binns sometimes mixes up with Uric the Oddball in class. He possessed the Elder Wand for some time and was slaughtered by Emeric the Evil to gain it.
Ethelred the Ever,Ready
Errol, The Weasley family’s old owl.
Petunia Evans," See Dursley, Petunia
 "
Mark Evans, A muggle boy who Dudley and gang tormented. No relation to Lily Evans.
Everard," Former headmaster of Hogwarts who has a portrait in Hogwarts, the Ministry of Magic, and several other Wizarding locations."
Perpetua Fancourt," Invented the Lunascope
 "
Fang," Hagrid’s black boarhound. Is quite a coward, even though looks very strong."
Fat Friar, The Hufflepuff house ghost.
Fat Lady," The portrait of the Fat Lady covers the entrance to the Gryffindor tower (and has for a long time, probably at least 40 or so years).
 "
Fawcetts, A family of wizards that live near the Weasleys and the Diggorys. 1 known member of their family goes to Hogwarts (see below).
S. Fawcett,"  A Ravenclaw girl in Harry’s year (though not confirmed). She, like Fred and George, tried to use an age potion to get across Dumbledore’s line to enter the Triwizard Tournament in Book 4. During the 2nd book, she and Ernie Macmillan were put together as partners for dueling club. She also gets in trouble after overhearing Karkaroff talk to Snape in Book 4.
 "
Fawkes," A phoenix that belongs to Professor Dumbledore. It can carry very heavy loads, has a magical song, has the ability to heal, and it a very faithful pet. She gave two wand feathers; one for Voldemort’s wand and one for Harry’s."
Benji Fenwick," A member of the old Order of the Phoenix who was killed by death eaters.
 "
Fergus, Seamus Finnigan’s cousin who apparates just to annoy Seamus.
Arabella Doreen Figg," A muggle who lives on Wisteria Walk near the Dursleys. She owns many cats and is a squib, meaning that she was born into a magical family but does is not magical. She was instructed by Dumbledore (when Harry was young) to keep an eye on Harry. She was Harry’s babysitter who was mean to him (because if she was nice, the Dursley’s wouldn’t want Harry going over there). She was discovered by the reader to be associated with the wizarding world in Book 5."
Argus Filtch," The caretaker at Hogwarts who despises of students and is a squib. His best friend is Mrs. Norris and (though slightly mentioned in Book 6) appears to have a relationship with Madam Pince, the librarian."
Finch,"Fletchley, Justin"
Fingal the Fearless," An Irish wizard who was said to be an Aingingein champion.
 "
Finnigan," Seamus Finnigan’s mother who Harry, Ron, and Hermione met at the Quidditch World Cup in book 4. She also believed that Harry was making everything up about Voldemort coming back like many other wizards in the wizarding world."
Firenze," A centaur who takes the place of Professor Trelawney when she is fired as Divination teacher. He also helped Harry in his first year.
 "
Nicholas Flamel," Friend of Dumbledore famous for creating the Philosopher’s (Sorcerer’s) Stone. Died somewhere between Harry’s 1st year and his 5th year.
 "
Perenelle Flamel," Wife of Nicholas Flamel
 "
Angus Fleet, A muggle man who saw the Ford Anglia before it going invisible.
Mudungus Fletcher," Although he is a criminal in his own way. Mudungus Fletcher is a member of the Order of the Phoenix. His job (in Book 5) was to watch over Harry. He stepped out for a few minutes to buy stolen cauldrons, and that was when Harry was attacked by dementors. He is useful for the order because he knows all of the criminals."
Marcus Flint," A Slytherin student who is a chaser and captain of the Slytherin Quidditch Team in Books 1 through 3. According to J.K. Rowling, he had to do a year over."
Filius Flitwick," The charms teacher and head of Ravenclaw house at Hogwarts.
 "
Florence," A Hogwarts student that Rita Skeeter supposedly saw kissing
 "
Flourish," One of the owners of Flourish and Blotts (though not confirmed).
 "
Flourish and Blotts (Manager)," A wizard who works in Flourish and Blotts who tries to keep Lockhart’s signing controlled, gets very scared when Harry walks into the shop looking for his books (thinking he wanted a copy of the monster book of monsters), lost a large quantity of invisible books that cost a fortune, and advises Harry not to buy Death Omens: What to Do When You Know the Worst Is Coming.
 "
Fluffy," The three headed dog that was kept guarding the trap door that led to the sorcerer’s stone (although there were many more obstacles) in book 1. It can be put to sleep with music.
 "
Ambrosius Flume, Owner of Honeydukes who left his shop abandoned in Book 6.
Florean Fortescue," Owner of the Ice Cream Parlor that game Harry free sundaes in Book 3. He was taken by Voldemort in the Summer between books 5 and 6.
 "
Fridwulfa, Giantress and mother of Rubeus Hagrid and Grawp. Abandoned Hagrid and his father when Hagrid was young. Also abandoned Grawp because he was small.
Vicky Frobisher," A girl who tried out for keeper and flew better than Ron, but said if practice came in the way of her Charms Club, then she would not go to practice, therefore not getting a spot on the team.
 "
Colonel Fubster, A man who looks after Aunt Marge’s 12 dogs when she is not home.
Cornelius Fudge," Minister of Magic from Books 1 through 5. Used to be very keen of Harry in Books 1 through 4, but in Book 5 he believed that Harry was making up that Voldemort was back in order to get detention. He was later proven wrong and sacked of the job and replaced by Rufus Scrimgeour."
Fulbert the Fearful," A very fearful wizard who never left his house, thinking he would get hurt. He died when his roof collapsed after a spell backfire."
Dymphna Furmage, A witch terrified of pixies.
Marvolo Gaunt," The grandfather of Lord Voldemort who (like Voldemort) is a parseltongue. His daughter, Merope (Voldemort’s mother) ran off and married a muggle. He does not think highly of muggle borns or muggles. Tom Riddle was named after him (his middle name"
Merope Gaunt," The mother of Tom Riddle (Lord Voldemort) who fell in love with muggle Tom Riddle. She used a love potion to make him fall in love with her. She was pregnant when she stopped using the love potion on her, and then he left her. She died giving birth to Tom Riddle. (she is under Slytherin because she is related to him)"
Morfin Gaunt," The crazy brother of Merope Gaunt and son of Marvolo Gaunt. He was put under the imperius curse by his nephew Tom Marvolo Riddle (Lord Voldemort) to say that he killed Tom Riddle (Voldemort’s father) and his parents, where it was actually Tom Marvolo (Voldemort) that did."
